index,timestamp_ms,temperature1_c,humidity1_percent,temperature2_c,humidity2_percent,status
55,280233,7.10,74.00,7.30,79.00,OK
56,285236,7.10,74.00,7.30,79.00,OK
57,290245,7.10,74.00,7.30,78.90,OK
58,295252,7.10,74.00,7.30,78.90,OK
59,300256,7.10,74.00,7.30,78.50,OK
60,305261,7.10,74.00,7.20,78.70,OK
61,310271,7.10,74.00,7.20,78.70,OK
62,315276,7.10,74.00,7.20,78.60,OK
63,320283,7.10,74.00,7.20,78.60,OK
64,325290,7.10,74.00,7.20,78.20,OK
65,330299,7.10,74.00,7.20,78.50,OK
66,335307,7.10,73.00,7.20,78.40,OK
67,340316,7.10,73.00,7.10,78.30,OK
68,345324,7.10,73.00,7.20,78.30,OK
69,350328,7.10,73.00,7.10,78.20,OK
70,355331,7.10,73.00,7.20,79.00,OK
71,360338,7.60,81.00,8.50,86.10,OK
72,365341,8.40,84.00,8.90,94.90,OK
73,370344,8.80,88.00,9.30,100.00,OK
74,375354,9.60,89.00,9.90,100.00,OK
75,380355,9.90,92.00,10.30,100.00,OK
76,385355,10.30,93.00,10.50,100.00,OK
77,390364,10.40,93.00,10.50,100.00,OK
78,395369,10.80,94.00,10.50,100.00,OK
79,400373,10.30,94.00,10.30,100.00,OK
80,405376,10.30,94.00,10.20,100.00,OK
81,410384,10.30,94.00,10.00,100.00,OK
82,415393,9.90,94.00,9.90,100.00,OK
83,420393,9.90,94.00,9.70,100.00,OK
84,425400,9.90,94.00,9.50,100.00,OK
85,430409,9.60,94.00,9.30,100.00,OK
86,435410,9.60,94.00,9.10,100.00,OK
87,440410,9.20,93.00,9.00,100.00,OK
88,445419,9.20,93.00,8.90,100.00,OK
89,450422,9.00,93.00,8.70,100.00,OK
90,455432,8.80,93.00,8.60,100.00,OK
91,460435,8.80,93.00,8.50,100.00,OK
92,465436,8.80,92.00,8.40,100.00,OK
93,470440,8.40,92.00,8.30,100.00,OK
94,475441,8.40,92.00,8.30,100.00,OK
95,480448,8.40,92.00,8.20,100.00,OK
96,485456,8.40,92.00,8.10,100.00,OK
97,490461,8.40,92.00,8.10,100.00,OK
98,495468,8.40,92.00,8.00,100.00,OK
99,500472,8.00,91.00,8.00,100.00,OK
100,505481,8.00,91.00,8.00,100.00,OK
101,510488,8.00,91.00,7.90,99.90,OK
102,515493,8.00,90.00,7.90,98.30,OK
103,520502,8.00,90.00,7.90,96.60,OK
104,525507,8.00,89.00,7.80,94.90,OK
105,530517,8.00,89.00,7.80,93.90,OK
106,535525,7.70,88.00,7.80,92.70,OK
107,540534,7.60,88.00,7.80,91.50,OK
108,545542,7.60,88.00,7.70,90.50,OK
109,550543,7.60,88.00,7.70,89.50,OK
110,555552,7.60,87.00,7.70,88.60,OK
111,560561,7.60,86.00,7.70,87.80,OK
112,565561,7.60,85.00,7.70,87.00,OK
113,570569,7.60,85.00,7.60,86.40,OK
114,575569,7.60,84.00,7.60,85.60,OK
115,580574,7.60,84.00,7.50,84.70,OK
116,585574,7.60,84.00,7.50,84.50,OK
117,590575,7.60,83.00,7.50,84.00,OK
118,595580,7.30,83.00,7.50,83.50,OK
119,600586,7.10,82.00,7.50,83.00,OK
120,605594,7.10,82.00,7.40,82.60,OK
121,610602,7.10,81.00,7.40,82.30,OK
122,615608,7.10,81.00,7.40,81.90,OK
123,620616,7.10,80.00,7.40,81.60,OK
124,625625,7.10,80.00,7.40,81.30,OK
125,630632,7.10,80.00,7.30,81.00,OK
126,635641,7.10,80.00,7.30,80.40,OK
127,640650,7.10,80.00,7.30,80.60,OK
128,645659,7.10,79.00,7.30,80.40,OK
129,650660,7.10,79.00,7.30,80.10,OK
130,655670,7.10,78.00,7.20,79.60,OK
131,660677,7.10,78.00,7.20,79.70,OK
132,665678,7.10,77.00,7.20,79.60,OK
133,670684,7.10,77.00,7.20,79.40,OK
134,675692,7.10,76.00,7.20,79.30,OK
135,680694,7.10,76.00,7.10,79.10,OK
136,685714,7.10,76.00,7.20,79.00,OK
137,690723,7.10,76.00,7.10,78.80,OK
138,695729,7.10,76.00,7.10,78.80,OK
139,700734,7.10,76.00,7.10,78.70,OK
140,705744,7.10,76.00,7.10,78.60,OK
141,710748,7.10,75.00,7.10,78.30,OK
142,715755,7.10,75.00,7.00,78.30,OK
143,720755,7.10,75.00,7.00,78.20,OK
144,725763,7.10,75.00,7.00,78.00,OK
145,730773,7.00,75.00,7.00,78.00,OK
146,735773,6.70,74.00,7.00,77.90,OK
147,740781,6.70,74.00,7.00,77.80,OK
148,745790,6.70,74.00,7.00,77.80,OK
149,750791,6.70,74.00,7.00,77.70,OK
150,755800,6.70,74.00,6.90,77.30,OK
151,760808,6.70,74.00,6.90,77.60,OK
152,765808,6.70,73.00,6.90,77.50,OK
153,770816,6.70,73.00,6.90,77.40,OK
154,775816,6.70,73.00,6.90,77.40,OK
155,780817,6.70,73.00,6.90,77.40,OK
156,785827,6.70,73.00,6.90,77.30,OK
157,790836,6.70,73.00,6.90,77.30,OK
158,795838,6.70,73.00,6.80,77.20,OK
159,800845,6.70,72.00,6.80,77.10,OK
160,805850,6.70,72.00,6.80,77.00,OK
161,810855,6.70,72.00,6.80,76.90,OK
162,815863,6.70,72.00,6.80,76.80,OK
163,820871,6.70,72.00,6.80,76.70,OK
164,825879,6.70,72.00,6.80,76.60,OK
165,830884,6.70,72.00,6.80,76.60,OK
166,835890,6.70,72.00,6.80,76.50,OK
167,840895,6.70,72.00,6.80,76.40,OK
168,845905,6.70,72.00,6.70,76.30,OK
169,850909,6.70,72.00,6.70,76.30,OK
170,855915,6.70,72.00,6.80,78.20,OK
171,860923,6.70,74.00,6.90,80.90,OK
172,865923,7.10,76.00,7.20,83.60,OK
